write_ratio ,hot_key_ratio        ,trans_arrival_rate ,execution_delay (us) ,blocksize ,early_execution ,reorder ,throughput          ,feature_extraction_overhead (s) ,training_overhead (s) ,inference_overhead (s) ,episode_duration (s)
     0.5039 ,0.06184407796101949  ,3927.6588089924535 ,   9.468100000000355 ,      1.0 ,            0.0 ,    0.0 ,2427.773731488225   ,                       0.207144 ,             0.15272  ,              0.015111 ,            4.229725
     0.5027 ,0.06249478514810179  ,3834.8190061299583 ,   9.670500000000395 ,      1.0 ,            0.0 ,    0.0 ,2480.15873015873    ,                       0.20981  ,             0.153393 ,              0.013531 ,            4.153163
     0.5018 ,0.06172943051245492  ,3918.807021091411  ,   9.87140000000043  ,      1.0 ,            0.0 ,    0.0 ,2306.805074971165   ,                       0.20382  ,             0.153851 ,              0.013948 ,            4.435449
     0.5061 ,0.06240132945575405  ,3879.097830459374  ,  10.051300000000499 ,      1.0 ,            0.0 ,    0.0 ,2453.385672227674   ,                       0.232477 ,             0.153504 ,              0.01448  ,            4.199628
     0.4961 ,0.06117087815861896  ,3905.5543231361917 ,  10.679500000000306 ,      1.0 ,            0.0 ,    0.0 ,2363.507445048452   ,                       0.211387 ,             0.179386 ,              0.01415  ,            4.332569
     0.5004 ,0.06474252491694352  ,3839.1459282402197 ,  10.145600000000512 ,      1.0 ,            0.0 ,    0.0 ,2427.1844660194174  ,                       0.204713 ,             0.153521 ,              0.013774 ,            4.220536
     0.4961 ,0.06169183281888713  ,3917.5773075117977 ,   9.986600000000468 ,      1.0 ,            0.0 ,    0.0 ,2470.9661477637756  ,                       0.214992 ,             0.155257 ,              0.014187 ,            4.147242
     0.4952 ,0.062421920546347966 ,3929.024529293039  ,  10.085500000000389 ,      1.0 ,            0.0 ,    0.0 ,2483.8549428713363  ,                       0.205826 ,             0.155825 ,              0.014112 ,            4.129896
     0.5006 ,0.06251036312386006  ,3877.9320074425273 ,  10.048800000000215 ,      1.0 ,            0.0 ,    0.0 ,2466.6995559940797  ,                       0.21019  ,             0.153824 ,              0.01363  ,            4.188883
     0.4933 ,0.062431774288353344 ,3909.50588537016   ,   9.189400000000278 ,      1.0 ,            0.0 ,    0.0 ,2420.1355275895453  ,                       0.20415  ,             0.151908 ,              0.013551 ,            4.242974
     0.5014 ,0.06307923520080154  ,3875.450763366914  ,   9.788000000000375 ,      1.0 ,            0.0 ,    0.0 ,2401.5369836695486  ,                       0.206708 ,             0.152915 ,              0.014457 ,            4.26508
     0.5104 ,0.06330061553818     ,3856.1442259638816 ,   9.908400000000466 ,      1.0 ,            0.0 ,    0.0 ,2379.2529145848202  ,                       0.205185 ,             0.153084 ,              0.013612 ,            4.303726
     0.5001 ,0.06340912890820934  ,3873.5037623342046 ,   9.896700000000424 ,      1.0 ,            0.0 ,    0.0 ,2306.805074971165   ,                       0.205555 ,             0.155084 ,              0.014003 ,            4.437145
     0.4987 ,0.062187604131956016 ,3818.1083716607777 ,   9.956800000000513 ,      1.0 ,            0.0 ,    0.0 ,2429.5432458697765  ,                       0.207739 ,             0.151963 ,              0.014394 ,            4.262778
     0.5016 ,0.06298028733711995  ,3919.6103593733956 ,   9.71900000000041  ,      1.0 ,            0.0 ,    0.0 ,2413.127413127413   ,                       0.217503 ,             0.15619  ,              0.014144 ,            4.261169
     0.4977 ,0.06414937759336099  ,3850.1283632796317 ,   9.935100000000363 ,      1.0 ,            0.0 ,    0.0 ,2353.494939985879   ,                       0.207288 ,             0.152491 ,              0.014223 ,            4.3492
