write_ratio         ,hot_key_ratio        ,execution_delay (us) ,blocksize ,early_execution ,reorder ,throughput          ,feature_extraction_overhead (s) ,training_overhead (s) ,inference_overhead (s) ,communication_overhead (s) ,episode_duration (s)
0.19067909454061252 ,0.05529440870856012  ,  5081.723035952068  ,     10.0 ,            1.0 ,    0.0 ,1673.2157177225342  ,                       0.104712 ,             0.157899 ,              0.013913 ,                  0.192516 ,            2.87485
0.19374167776298268 ,0.055266418835192066 ,  5080.414780292962  ,     10.0 ,            1.0 ,    1.0 ,1884.430176565008   ,                       0.107142 ,             0.159287 ,              0.013675 ,                  0.098888 ,            2.893424
0.1952063914780293  ,0.055240443896424164 ,  5080.876697736354  ,     10.0 ,            1.0 ,    0.0 ,1687.7755511022044  ,                       0.104813 ,             0.158448 ,              0.013834 ,                  0.188991 ,            2.831446
0.20159786950732356 ,0.05535009861932939  ,  5082.951797603202  ,     10.0 ,            1.0 ,    1.0 ,1835.0722311396469  ,                       0.105781 ,             0.160786 ,              0.013789 ,                  0.076138 ,            2.935798
0.19360852197070572 ,0.056553846153846156 ,  5080.882290279657  ,     10.0 ,            1.0 ,    1.0 ,1886.1562871876238  ,                       0.109376 ,             0.160067 ,              0.014064 ,                  0.144963 ,            2.883626
0.1980314960629921  ,0.05466038671294001  ,  5083.966797900279  ,     10.0 ,            1.0 ,    0.0 ,1953.1509121061358  ,                       0.105481 ,             0.158337 ,              0.013803 ,                  0.184741 ,            2.744839
0.19986702127659575 ,0.05517920926222441  ,  5082.961436170234  ,     10.0 ,            1.0 ,    1.0 ,1841.7237213048732  ,                       0.105977 ,             0.159289 ,              0.014487 ,                  0.138963 ,            2.869661
0.20213049267643143 ,0.05460729746444032  ,  5082.646870838932  ,     10.0 ,            1.0 ,    1.0 ,1762.0951619352259  ,                       0.104381 ,             0.158395 ,              0.014307 ,                  0.126972 ,            2.900623
0.20159786950732356 ,0.05647534952170714  ,  5081.419840213094  ,     10.0 ,            1.0 ,    1.0 ,1891.4354644149578  ,                       0.111253 ,             0.159763 ,              0.013885 ,                  0.192997 ,            2.796487
0.20399467376830893 ,0.0555350780194127   ,  5085.276697736383  ,     10.0 ,            1.0 ,    1.0 ,2003.2760032760032  ,                       0.105744 ,             0.16048  ,              0.014004 ,                  0.081685 ,            2.931923
0.2099866844207723  ,0.057039133645089835 ,  5081.276964047977  ,     10.0 ,            1.0 ,    1.0 ,1790.84704937776    ,                       0.107682 ,             0.161705 ,              0.01414  ,                  0.145863 ,            2.848843
0.19814077025232404 ,0.055295566502463055 ,  5081.226693227122  ,     10.0 ,            1.0 ,    1.0 ,1873.4381297863765  ,                       0.105878 ,             0.159733 ,              0.014517 ,                  0.183371 ,            2.845607
0.20357142857142857 ,0.0580460470215617   ,  5080.949267643162  ,     10.0 ,            1.0 ,    1.0 ,1992.273281821879   ,                       0.10631  ,             0.16296  ,              0.014491 ,                  0.107583 ,            2.850705
0.20173102529960052 ,0.056818181818181816 ,  5080.450332889521  ,     10.0 ,            1.0 ,    1.0 ,1969.080553295362   ,                       0.106151 ,             0.168821 ,              0.014723 ,                  0.179567 ,            2.827395
0.19693741677762983 ,0.058380646753887926 ,  5080.983355526008  ,     10.0 ,            1.0 ,    1.0 ,1854.0996784565918  ,                       0.108848 ,             0.161712 ,              0.01399  ,                  0.150119 ,            2.886824
0.2                 ,0.05698753970193012  ,  5081.360610079615  ,     10.0 ,            1.0 ,    1.0 ,1871.5375351264552  ,                       0.105043 ,             0.160966 ,              0.014041 ,                  0.182695 ,            2.831872
0.20199733688415447 ,0.05621994821846875  ,  5082.804793608562  ,     10.0 ,            1.0 ,    1.0 ,2032.8618968386024  ,                       0.106388 ,             0.159212 ,              0.013989 ,                  0.10324  ,            2.846602
0.19533954727030625 ,0.054777695897813804 ,  5083.589508632137  ,     10.0 ,            1.0 ,    1.0 ,1907.0239545269997  ,                       0.103889 ,             0.157198 ,              0.014048 ,                  0.170932 ,            2.855712
0.2021164021164021  ,0.056172237131007566 ,  5081.955820105866  ,     10.0 ,            1.0 ,    1.0 ,1940.8260524225575  ,                       0.105177 ,             0.162301 ,              0.014292 ,                  0.105888 ,            2.88368
0.2                 ,0.05739215927245914  ,  5081.5316910786105 ,     10.0 ,            1.0 ,    1.0 ,1751.1219910240718  ,                       0.105148 ,             0.162068 ,              0.01429  ,                  0.153588 ,            2.863299
0.20798934753661785 ,0.05638820638820639  ,  5081.739414114536  ,     10.0 ,            1.0 ,    1.0 ,1928.1537176274016  ,                       0.108904 ,             0.165755 ,              0.014481 ,                  0.147694 ,            2.777918
