write_ratio         ,hot_key_ratio        ,trans_arrival_rate ,execution_delay (us) ,blocksize ,early_execution ,reorder ,throughput         ,feature_extraction_overhead (s) ,training_overhead (s) ,inference_overhead (s) ,episode_duration (s) ,optimal_action_predicted
0.498               ,0.06342662002332167  ,3558.330104148764  ,  10.15280000000015  ,     20.0 ,            1.0 ,    0.0 ,423.82271468144046 ,                       0.131704 ,             0.174245 ,              0.014352 ,            2.98849  ,      210.07050155274513
0.505               ,0.06382178383348658  ,3574.828488666185  ,  11.336500000000292 ,     30.0 ,            1.0 ,    0.0 ,437.83209351753453 ,                       0.13693  ,             0.175245 ,              0.01445  ,            2.92679  ,      222.78230241137095
0.4954954954954955  ,0.062457940780619114 ,3648.1929576364096 ,  11.489189189189368 ,      1.0 ,            1.0 ,    0.0 ,142.76139410187668 ,                       0.131747 ,             0.176201 ,              0.014562 ,            4.59882  ,      249.41591227114168
0.5054              ,0.0634834281888182   ,3547.032588007199  ,  11.52980000000036  ,     20.0 ,            1.0 ,    0.0 ,389.6551724137931  ,                       0.187335 ,             0.178577 ,              0.014591 ,            3.005609 ,      195.66786506038662
0.4975              ,0.06266144487959337  ,3525.8208199014252 ,  11.121700000000198 ,      1.0 ,            1.0 ,    0.0 ,137.20777802053746 ,                       0.14858  ,             0.179341 ,              0.015281 ,            4.673499 ,      257.35773735158693
0.5011              ,0.06337383488681758  ,3579.165961272708  ,  10.987700000000292 ,     50.0 ,            1.0 ,    0.0 ,419.88756148981025 ,                       0.182381 ,             0.174453 ,              0.014727 ,            2.978857 ,      331.8295466081332
0.4963              ,0.061318773624527506 ,3564.4282888712487 ,  11.099900000000263 ,     50.0 ,            1.0 ,    0.0 ,388.7136347704171  ,                       0.136034 ,             0.194418 ,              0.014039 ,            2.952969 ,      349.4682757696706
0.5003              ,0.06294843984648757  ,3630.7827931394177 ,  11.220400000000282 ,     50.0 ,            1.0 ,    0.0 ,405.24475524475525 ,                       0.133947 ,             0.176059 ,              0.014532 ,            2.92185  ,      233.52239893644423
0.5072              ,0.06285761671780413  ,3603.420510885753  ,  11.859400000000258 ,     50.0 ,            1.0 ,    0.0 ,373.86443046820403 ,                       0.13097  ,             0.173271 ,              0.014059 ,            2.960757 ,      272.545226764885
0.5085              ,0.06112540459789194  ,3663.2948479787583 ,  11.594600000000236 ,     20.0 ,            1.0 ,    0.0 ,400.3384094754653  ,                       0.1342   ,             0.190846 ,              0.013992 ,            3.014353 ,      222.68539838020087
0.4969              ,0.06313637122350192  ,3512.4125145852927 ,  10.949500000000219 ,     20.0 ,            1.0 ,    0.0 ,386.9535519125683  ,                       0.134761 ,             0.173624 ,              0.013842 ,            3.01068  ,      323.305014720652
0.5021              ,0.06266090856241176  ,3545.3223371615722 ,  11.778700000000303 ,     40.0 ,            1.0 ,    0.0 ,389.56100933287246 ,                       0.134467 ,             0.171081 ,              0.01388  ,            3.006299 ,      322.4745943297219
0.5021              ,0.06389165835825855  ,3567.856891832926  ,  10.908700000000259 ,     20.0 ,            1.0 ,    0.0 ,384.21778084079943 ,                       0.132439 ,             0.174151 ,              0.014151 ,            3.009339 ,      316.71758775579974
0.5036              ,0.06274900398406374  ,3546.045219877853  ,  10.93790000000027  ,     30.0 ,            1.0 ,    0.0 ,400.06988120195666 ,                       0.136125 ,             0.174739 ,              0.014215 ,            2.96257  ,      241.4734005518599
0.4928928928928929  ,0.06267350887524185  ,3612.592651791271  ,  10.863863863864118 ,     30.0 ,            1.0 ,    0.0 ,397.7350720658888  ,                       0.132432 ,             0.175209 ,              0.014559 ,            3.014655 ,      312.53902810335836
0.5044044044044044  ,0.06204166666666667  ,3551.0177095900226 ,  10.868568568568834 ,     20.0 ,            1.0 ,    0.0 ,415.5524278676988  ,                       0.132924 ,             0.182963 ,              0.014442 ,            2.942179 ,      256.35915473742347
0.5019              ,0.06282941520957082  ,3537.0184349400824 ,  12.48520000000029  ,     20.0 ,            1.0 ,    0.0 ,386.05142655864745 ,                       0.135012 ,             0.194239 ,              0.014009 ,            2.939383 ,      252.2292476923949
0.5045              ,0.06405147364051474  ,3647.9854547523946 ,  12.360500000000329 ,     30.0 ,            1.0 ,    0.0 ,400.91678420310296 ,                       0.135146 ,             0.173098 ,              0.013867 ,            2.91268  ,      226.30227688525693
0.5027027027027027  ,0.06362044525973484  ,3606.822418332911  ,  11.806806806807096 ,     50.0 ,            1.0 ,    0.0 ,361.387839230505   ,                       0.132187 ,             0.190635 ,              0.013841 ,            3.045755 ,      267.7823705058295
0.5035              ,0.06544502617801047  ,3580.3090164712116 ,  11.13540000000027  ,     30.0 ,            1.0 ,    0.0 ,408.48896434634975 ,                       0.134851 ,             0.178237 ,              0.015012 ,            3.037093 ,      236.44009030470434
0.5069069069069069  ,0.062040175250062    ,3537.0920217508146 ,  12.255455455455811 ,     30.0 ,            1.0 ,    0.0 ,387.11960368011324 ,                       0.133925 ,             0.17669  ,              0.014028 ,            2.916146 ,      219.55896606947408
0.497997997997998   ,0.06184836099758111  ,3664.097274997286  ,  12.442842842843145 ,     30.0 ,            1.0 ,    0.0 ,392.1363952679193  ,                       0.133854 ,             0.182751 ,              0.014661 ,            2.927723 ,      241.65410806565208
0.5013013013013013  ,0.06338556426071011  ,3580.812009161717  ,  10.930430430430706 ,     20.0 ,            1.0 ,    0.0 ,405.3202660133007  ,                       0.13579  ,             0.177486 ,              0.014798 ,            2.957691 ,      344.1090963669914
0.5034              ,0.06145530145530145  ,3597.75126155148   ,  11.858500000000337 ,     20.0 ,            1.0 ,    0.0 ,414.4271570014144  ,                       0.135093 ,             0.174946 ,              0.014216 ,            2.921937 ,      297.54405769690976
0.498               ,0.06271441720358129  ,3647.2683054572617 ,  12.167000000000307 ,     30.0 ,            1.0 ,    0.0 ,397.75910364145653 ,                       0.151053 ,             0.178297 ,              0.019307 ,            2.939382 ,      230.5081044302816
0.5023023023023023  ,0.06295338947719503  ,3586.0396445836263 ,  11.639539539539852 ,     20.0 ,            1.0 ,    0.0 ,417.8470254957507  ,                       0.132648 ,             0.180262 ,              0.014334 ,            2.947137 ,      323.83373060607056
0.5071              ,0.061956071280563615 ,3661.514915181007  ,  12.712700000000343 ,     30.0 ,            1.0 ,    0.0 ,426.6666666666667  ,                       0.135346 ,             0.176348 ,              0.014133 ,            2.950492 ,      229.3598899741706
0.5023023023023023  ,0.06302275008364001  ,3623.261994846916  ,  12.302902902903227 ,     30.0 ,            1.0 ,    0.0 ,411.09185441941077 ,                       0.134825 ,             0.174779 ,              0.014287 ,            2.993497 ,      253.38196715540818
0.5022022022022022  ,0.062223335838971015 ,3584.9226550245794 ,  11.923123123123421 ,     20.0 ,            1.0 ,    0.0 ,401.2605042016807  ,                       0.132041 ,             0.1743   ,              0.014423 ,            2.95244  ,      195.50940239519934
0.4965              ,0.06125938281901585  ,3630.453258458865  ,  11.746000000000315 ,     30.0 ,            1.0 ,    0.0 ,401.0733452593918  ,                       0.135511 ,             0.179687 ,              0.014719 ,            2.937606 ,      201.7679861528115
0.5023023023023023  ,0.0641089936476095   ,3661.952315442552  ,  12.89149149149179  ,     30.0 ,            1.0 ,    0.0 ,424.18899858956274 ,                       0.133362 ,             0.176038 ,              0.014247 ,            2.936418 ,      259.9285810503208
